,title,price,link,pic
4,SDI 職人用工藝刀-NO.0443C,120,https://www.poyabuy.com.tw/SalePage/index/7580718,https://diz36nn4q02zr.cloudfront.net/webapi/imagesV3/Cropped/SalePage/7580718/0/638417802225330000?v=1
12,DigiStone 3C多功能防震/防水軟布收納包(適2.5吋硬碟/行動電源/3C)-黑色,149,https://24h.pchome.com.tw/prod/DYAO8B-A90089SYP,https://img.pchome.com.tw/cs/items/DYAO8BA90089SYP/000001_1500016776.jpg?width=320
5,宮本漢方明亮茶(3C對策)6g X8,159,https://online.carrefour.com.tw/zh/%E5%AE%AE%E6%9C%AC%E6%BC%A2%E6%96%B9/1430420400101.html,https://online.carrefour.com.tw/on/demandware.static/-/Library-Sites-CarrefourTaiwanSharedLib/default/dw6a3a4e57/watermark/01cvs.png
20,TRAVELON 扣式3C線材收納包(藍),179,https://24h.pchome.com.tw/prod/QFAK7W-A900AOLJN,https://img.pchome.com.tw/cs/items/QFAK7WA900AOLJN/000001_1696405216.jpg?width=320
53,【POLYWELL】六合一多功能3C清潔組 /白色,183,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12196818&Area=search&oid=1_30&cid=index&kw=3C,https://i1.momoshop.com.tw/1701999998/goodsimg/0012/196/818/12196818_OL.webp
52,【BUBM】多功能3C數位配件/手機/行動電源收納包/整理包(黑色),186,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8482199&Area=search&oid=1_29&cid=index&kw=3C,https://i4.momoshop.com.tw/1692978672/goodsimg/0008/482/199/8482199_OL.webp
47,【FJ】升級多功能耳機鍵盤清潔組PN3(3C清潔必備),189,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10519178&Area=search&oid=1_24&cid=index&kw=3C,https://i4.momoshop.com.tw/1692378616/goodsimg/0010/519/178/10519178_OL.webp
36,Boona 3C 鏡頭包方形 H007(M號),199,https://24h.pchome.com.tw/prod/DGBH73-A900AP23P,https://img.pchome.com.tw/cs/items/DGBH73A900AP23P/000001_1591174369.jpg?width=320
33,【KINYO】7合一多功能清潔組(耳機/鍵盤/手機/3C清潔 CK-008),242,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11122587&Area=search&oid=1_13&cid=index&kw=3C,https://i3.momoshop.com.tw/1704791012/goodsimg/0011/122/587/11122587_OL.webp
8,3M魔布3C專用精密擦拭布(9026),257,https://24h.pchome.com.tw/prod/DAAN0M-A9006UYYU,https://img.pchome.com.tw/cs/items/DAAN0MA9006UYYU/000001_1476704662.jpg?width=320
29,【Leslie】衣物鞋袋收納袋七件組 盥洗化妝包 內衣包 3C線材 行李箱(出國旅行/旅遊收納/完整升級),259,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12057287&Area=search&oid=1_11&cid=index&kw=3C,https://i3.momoshop.com.tw/1698967871/goodsimg/0012/057/287/12057287_OL.webp
1,3C數碼收納包-2色任選,279,https://www.poyabuy.com.tw/SalePage/index/7298784,https://diz36nn4q02zr.cloudfront.net/webapi/imagesV3/Cropped/SalePage/7298784/0/638428809716130000?v=1
39,【蔘大王】台灣菊花枸杞決明子茶包X1組有2袋（6gX10入/袋）(破壁銅鑼杭菊枸杞茶 熬夜退火 3C守護茶),281,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8649510&Area=search&oid=1_16&cid=index&kw=3C,https://i1.momoshop.com.tw/1703154743/goodsimg/0008/649/510/8649510_OL.webp
2,CIELO宣若EX染髮霜-3C焦糖棕,298,https://www.poyabuy.com.tw/SalePage/index/7105459,https://diz36nn4q02zr.cloudfront.net/webapi/imagesV3/Cropped/SalePage/7105459/0/638427303949970000?v=1
7,【BUBM】3C電子產品數位周邊線材配件整理收納包/隨行包 (黑色),299,https://24h.pchome.com.tw/prod/DICM65-A900AGBT3,https://img.pchome.com.tw/cs/items/DICM65A900AGBT3/000001_1578369599.jpg?width=320
26,Boona 3C 鏡頭包方形 H007(M號),299,https://24h.pchome.com.tw/prod/QAAQ4O-A900AP1Q2,https://img.pchome.com.tw/cs/items/QAAQ4OA900AP1Q2/000001_1591170202.jpg?width=320
