,title,price,link,pic
4,Apple 第十代 iPad 10.9吋 64G WiFi 藍色,13590,https://24h.pchome.com.tw/prod/DYAJG2-1900GSE8Z,https://img.pchome.com.tw/cs/items/DYAJG21900GSE8Z/000001_1704253655.jpg?width=320
8,Apple 第九代 iPad 10.2 吋 256G WiFi 太空灰+電量顯示磁力吸附觸控筆,14900,https://24h.pchome.com.tw/prod/DYAJK2-1900H2SBG,https://img.pchome.com.tw/cs/items/DYAJK21900H2SBG/000001_1704939582.jpg?width=320
10,【福利品】Apple iPhone 13 (256GB) 全機8成新,15111,https://24h.pchome.com.tw/prod/DYAJ86-A900GRNEV,https://img.pchome.com.tw/cs/items/DYAJ86A900GRNEV/000001_1698300753.jpg?width=320
18,Apple Watch Series 9 GPS + Cellular 41mm 星光色鋁金屬錶殼,15999,https://24h.pchome.com.tw/prod/DYAJD5-1900GYFJA,https://img.pchome.com.tw/cs/items/DYAJD51900GYFJA/000001_1701241915.jpg?width=320
7,Apple Watch Series 9 GPS + Cellular 45mm 星光色鋁金屬錶殼,16999,https://24h.pchome.com.tw/prod/DYAJD5-1900GYFFB,https://img.pchome.com.tw/cs/items/DYAJD51900GYFFB/000001_1701240742.jpg?width=320
11,"Mac mini: Apple M2 chip with 8‑core CPU and 10‑core GPU, 256GB SSD",17388,https://24h.pchome.com.tw/prod/DYAJC4-1900GG19R,https://img.pchome.com.tw/cs/items/DYAJC41900GG19R/000001_1700028431.jpg?width=320
19,【優質福利品】APPLE iPhone 14 128GB,18288,https://24h.pchome.com.tw/prod/DYAX1E-A900H2AZA,https://img.pchome.com.tw/cs/items/DYAX1EA900H2AZA/000001_1705374950.jpg?width=320
14,Apple 第十代 iPad 10.9吋 256G WiFi 藍色,18300,https://24h.pchome.com.tw/prod/DYAJG3-1900GSEL6,https://img.pchome.com.tw/cs/items/DYAJG31900GSEL6/000001_1707098504.jpg?width=320
9,Apple iPhone 13 (128G)-午夜色(MLPF3TA/A),20388,https://24h.pchome.com.tw/prod/DYAJJV-1900H28NH,https://img.pchome.com.tw/cs/items/DYAJJV1900H28NH/000001_1706610667.jpg?width=320
12,Apple iPhone 13 (128G)-星光色(MLPG3TA/A),20388,https://24h.pchome.com.tw/prod/DYAJDM-1900EZVYU,https://img.pchome.com.tw/cs/items/DYAJDM1900EZVYU/000001_1700821112.jpg?width=320
13,【優質福利品】APPLE iPhone 14 Plus 128GB,22800,https://24h.pchome.com.tw/prod/DYAJCY-A900H48AJ,https://img.pchome.com.tw/cs/items/DYAJCYA900H48AJ/000001_1706756201.jpg?width=320
21,2022 Apple iPad Air 10.9吋 256G WiFi 紫色 (MME63TA/A),22899,https://24h.pchome.com.tw/prod/DYAJF3-A900EZVT6,https://img.pchome.com.tw/cs/items/DYAJF3A900EZVT6/000001_1694673949.jpg?width=320
5,Apple iPhone 14 (128G)-藍色(MPVN3TA/A),22999,https://24h.pchome.com.tw/prod/DYAJ3Q-1900FH43W,https://img.pchome.com.tw/cs/items/DYAJ3Q1900FH43W/000001_1707062781.jpg?width=320
15,2022 Apple iPad Pro 11吋 128G WiFi 銀 (MNXE3TA/A),25528,https://24h.pchome.com.tw/prod/DYAJBT-A900FU2YS,https://img.pchome.com.tw/cs/items/DYAJBTA900FU2YS/000001_1684403018.jpg?width=320
3,"Apple Watch Ultra 2 GPS + Cellular, 49mm",25900,https://24h.pchome.com.tw/prod/DYAJI3-1900GO8IZ,https://img.pchome.com.tw/cs/items/DYAJI31900GO8IZ/000001_1703736436.jpg?width=320
17,"Apple Watch Ultra 2 GPS + Cellular, 49mm",26190,https://24h.pchome.com.tw/prod/DYAJI3-1900GO8HP,https://img.pchome.com.tw/cs/items/DYAJI31900GO8HP/000001_1707968065.jpg?width=320
20,Apple iPhone 14 Plus (128G)-星光色(MQ4Y3TA/A),26999,https://24h.pchome.com.tw/prod/DYAJ93-1900FH44S,https://img.pchome.com.tw/cs/items/DYAJ931900FH44S/000001_1707105467.jpg?width=320
6,Apple iPhone 15 (128G),27799,https://24h.pchome.com.tw/prod/DYAJDQ-1900GNTNS,https://img.pchome.com.tw/cs/items/DYAJDQ1900GNTNS/000001_1707105374.jpg?width=320
2,Apple iPhone 15 (128G),27799,https://24h.pchome.com.tw/prod/DYAJDQ-A900GNZX1,https://img.pchome.com.tw/cs/items/DYAJDQA900GNZX1/000001_1707215218.jpg?width=320
16,"Apple Watch Ultra 2 GPS + Cellular, 49mm 藍+黑色越野錶環 S/M",27900,https://24h.pchome.com.tw/prod/DYAJI3-A900H2M1C,https://img.pchome.com.tw/cs/items/DYAJI3A900H2M1C/000001_1707098667.png?width=320
1,Apple iPad Pro 4th Wi-Fi 256G(11)(太空灰),31400,https://online.carrefour.com.tw/zh/apple%E8%98%8B%E6%9E%9C/4500203900101.html,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw750b8f31/images/large/45002032-002039-001-P1.jpg?sw=300&bgcolor=FFFFFF
