,title,price,link,pic
48,【Apple 蘋果】HomePod mini 智慧音箱,2799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8942548&Area=search&oid=1_26&cid=index&kw=apple,https://i4.momoshop.com.tw/1693075879/goodsimg/0008/942/548/8942548_OL.webp
43,【Apple 蘋果】Apple Pencil 第二代(MU8F2),4390,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7354365&Area=search&oid=1_21&cid=index&kw=apple,https://i1.momoshop.com.tw/1692810704/goodsimg/0007/354/365/7354365_OL.webp
50,【Apple 蘋果】1M快充傳輸線組AirPods 3(Lightning充電盒),4999,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11525764&Area=search&oid=1_28&cid=index&kw=apple,https://i4.momoshop.com.tw/1692546750/goodsimg/0011/525/764/11525764_OL.webp
9,Apple Watch SE GPS 40mm Starlight Aluminium Case Starlight Sport Band - Regular,7289,https://24h.pchome.com.tw/prod/DYAJGA-1900GYGC6,https://img.pchome.com.tw/cs/items/DYAJGA1900GYGC6/000001_1701248850.jpg?width=320
40,【Apple 蘋果】1M快充線組AirPods Pro 2 (USB-C充電盒),7490,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12345998&Area=search&oid=1_19&cid=index&kw=apple,https://i1.momoshop.com.tw/1705045806/goodsimg/0012/345/998/12345998_OL.webp
2,Apple Watch SE GPS 44mm Midnight(鋁午夜 S/M),8900,https://online.carrefour.com.tw/zh/apple%E8%98%8B%E6%9E%9C/4260202500101.html,https://online.carrefour.com.tw/dw/image/v2/BFHC_PRD/on/demandware.static/-/Sites-carrefour-tw-m-inner/default/dw8c11702c/images/large/42602025001-002-P1.jpg?sw=300&bgcolor=FFFFFF
44,【Apple】2021 iPad 9 10.2吋/WiFi/64G(三折防摔殼+鋼化保貼組),10290,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12241726&Area=search&oid=1_22&cid=index&kw=apple,https://i1.momoshop.com.tw/1703057507/goodsimg/0012/241/726/12241726_OL.webp
32,【Apple】Apple Watch S8 GPS 41mm(鋁金屬錶殼搭配運動型錶帶),10899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12290424&Area=search&oid=1_15&cid=index&kw=apple,https://i2.momoshop.com.tw/1705610646/goodsimg/0012/290/424/12290424_OL.webp
34,【Apple】Apple Watch S8 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),11799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12290423&Area=search&oid=1_16&cid=index&kw=apple,https://i1.momoshop.com.tw/1705610587/goodsimg/0012/290/423/12290423_OL.webp
23,Apple Watch Series 9 GPS 41mm 粉紅色鋁金屬錶殼,12589,https://24h.pchome.com.tw/prod/DYAJD5-1900GOBKS,https://img.pchome.com.tw/cs/items/DYAJD51900GOBKS/000001_1702958139.jpg?width=320
49,鋼化保貼組【Apple 蘋果】Apple Watch S9 GPS 41mm(鋁金屬錶殼搭配運動型錶帶),12899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11860307&Area=search&oid=1_27&cid=index&kw=apple,https://i2.momoshop.com.tw/1694691413/goodsimg/0011/860/307/11860307_OL.webp
31,Apple 第十代 iPad 10.9吋 64G WiFi 黃色,13590,https://24h.pchome.com.tw/prod/DYAJG2-1900GSEAU,https://img.pchome.com.tw/cs/items/DYAJG21900GSEAU/000001_1704253630.jpg?width=320
11,Apple 第十代 iPad 10.9吋 64G WiFi 藍色,13590,https://24h.pchome.com.tw/prod/DYAJG2-1900GSE8Z,https://img.pchome.com.tw/cs/items/DYAJG21900GSE8Z/000001_1704253655.jpg?width=320
37,Apple 第十代 iPad 10.9吋 64G WiFi 銀色 (MPQ03TA/A),13700,https://24h.pchome.com.tw/prod/DYAJG2-A900FU2WL,https://img.pchome.com.tw/cs/items/DYAJG2A900FU2WL/000001_1690164506.jpg?width=320
46,鋼化保貼組【Apple 蘋果】Apple Watch S9 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),13899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11860311&Area=search&oid=1_24&cid=index&kw=apple,https://i3.momoshop.com.tw/1694691923/goodsimg/0011/860/311/11860311_OL.webp
36,充電支架組【Apple 蘋果】Apple Watch S9 GPS 45mm(鋁金屬錶殼搭配運動型錶帶),13899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11860662&Area=search&oid=1_17&cid=index&kw=apple,https://i1.momoshop.com.tw/1694692907/goodsimg/0011/860/662/11860662_OL.webp
